date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:15:35	33007/33007	---MCZ	200	added ('OK')	text/html	etag:W/%227a98724a9e460b6866b0b867690e2f709d3c8cc6%22	https://html-theme-kocina.vercel.app/	E:/web/test/html-theme-kocina.vercel.app/index.html	(from )
21:15:35	1445/1445	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Apr%202023%2014:15:43%20GMT	https://html-theme-kocina.vercel.app/robots.txt		(from )
21:15:35	429/429	---M--	200	added ('OK')	image/png	etag:W/%224cbdee4e772f20280be2825658cca9fce79f0d37%22	https://html-theme-kocina.vercel.app/img/favicon.png	E:/web/test/html-theme-kocina.vercel.app/img/favicon.png	(from https://html-theme-kocina.vercel.app/)
21:15:36	418154/418154	---MCZ	200	added ('OK')	application/javascript	etag:W/%223746f9af013ee85cb8eda2bc23ea759f0f9da778%22	https://html-theme-kocina.vercel.app/js/uikit.js	E:/web/test/html-theme-kocina.vercel.app/js/uikit.js	(from https://html-theme-kocina.vercel.app/)
21:15:36	319482/319482	---MCZ	200	added ('OK')	text/css	etag:W/%224c46fa5e8234510d9fc197c2f5da331d2bee1712%22	https://html-theme-kocina.vercel.app/css/main.css	E:/web/test/html-theme-kocina.vercel.app/css/main.css	(from https://html-theme-kocina.vercel.app/)
21:15:36	33007/33007	---MCZ	200	added ('OK')	text/html	etag:W/%227a98724a9e460b6866b0b867690e2f709d3c8cc6%22	https://html-theme-kocina.vercel.app/index.html	E:/web/test/html-theme-kocina.vercel.app/index-2.html	(from https://html-theme-kocina.vercel.app/)
21:15:37	30032/30032	---MCZ	200	added ('OK')	text/html	etag:W/%2210a75e7a33642129f759cdbe8683b7e947b60b7e%22	https://html-theme-kocina.vercel.app/recipe.html	E:/web/test/html-theme-kocina.vercel.app/recipe.html	(from https://html-theme-kocina.vercel.app/)
21:15:37	22983/22983	---MCZ	200	added ('OK')	text/html	etag:W/%22ab14a9c62a1c62889266ad1558953bb9217e938d%22	https://html-theme-kocina.vercel.app/search.html	E:/web/test/html-theme-kocina.vercel.app/search.html	(from https://html-theme-kocina.vercel.app/)
21:15:37	7989/7989	---MCZ	200	added ('OK')	text/html	etag:W/%223d28d18163f3bbc205c60660b6489f70c8f5a26a%22	https://html-theme-kocina.vercel.app/contact.html	E:/web/test/html-theme-kocina.vercel.app/contact.html	(from https://html-theme-kocina.vercel.app/)
21:15:37	3607/3607	---MCZ	200	added ('OK')	text/html	etag:W/%228dbbb6440f9fa16faa1510871c1dae632a66e924%22	https://html-theme-kocina.vercel.app/sign-in.html	E:/web/test/html-theme-kocina.vercel.app/sign-in.html	(from https://html-theme-kocina.vercel.app/)
21:15:38	3945/3945	---MCZ	200	added ('OK')	text/html	etag:W/%22c021cba69f4f1edcc9092b3ad8ecaa76fdd09bd7%22	https://html-theme-kocina.vercel.app/sign-up.html	E:/web/test/html-theme-kocina.vercel.app/sign-up.html	(from https://html-theme-kocina.vercel.app/)
21:15:38	57660/57660	---M--	200	added ('OK')	image/jpeg	etag:W/%2276fb1d093122038b4ed246340b9971d85e259800%22	https://html-theme-kocina.vercel.app/img/header.jpg	E:/web/test/html-theme-kocina.vercel.app/img/header.jpg	(from https://html-theme-kocina.vercel.app/)
